name,image,ratings,no_of_ratings,discount_price,actual_price,weight_volume,discount_price_USD,actual_price_USD
Saffola FITTIFY Gourmet HI PROTEIN SLIM MEAL-SHAKE Royal Kesar Pista Buy 1 Get 1 Free 420 gm (12 servings),https://m.media-amazon.com/images/I/71NwFbImwML._AC_UL320_.jpg,3.8,"2,014",1360.0,1699.0,,15.632183908045977,19.528735632183906
"TheForresto Pure Kashmiri Saffron /Kesar 1Gm, Natural and Finest A++ Grade , Pack of 1",https://m.media-amazon.com/images/I/61OHBcZienL._AC_UL320_.jpg,4.7,69,399.0,499.0,,4.586206896551724,5.735632183908046
"Organic Tattva, Organic Unpolished Urad Dal Black Whole, 500g",https://m.media-amazon.com/images/I/714MkL4rItL._AC_UL320_.jpg,4.5,175,127.5,150.0,g,1.4655172413793103,1.7241379310344827
"Nesquik Chocolate Drink, 300 g",https://m.media-amazon.com/images/I/61nvBvcJE-L._AC_UL320_.jpg,4.2,"4,444",319.0,500.0,,3.6666666666666665,5.747126436781609
Raghbat Premium California Roasted & Salted Jumbo Size Pistachios Nut 1kg Family Value Pack | Pista Dry Fruit | Super Crun...,https://m.media-amazon.com/images/I/61ahranvbBL._AC_UL320_.jpg,4,45,1325.0,2475.0,kg,15.229885057471265,28.448275862068964
Nutraj Chironji Nuts (100 g),https://m.media-amazon.com/images/I/71R2hETM6QL._AC_UL320_.jpg,4.2,49,195.0,199.0,,2.2413793103448274,2.2873563218390807
"Organic Entree-Dry Stevia Leaves, Natural Sugar Substitute, Zero Calorie Sweetener, 100% Sugar Free (40 gm)",https://m.media-amazon.com/images/I/61AHbqNwSZL._AC_UL320_.jpg,3.8,310,220.0,230.0,,2.528735632183908,2.6436781609195403
"Hershey's Strawberry Syrup, 623g",https://m.media-amazon.com/images/I/41RyDmISuvL._AC_UL320_.jpg,4,131,230.0,250.0,g,2.6436781609195403,2.8735632183908044
Anjali Sunflower Oil (1 Lt. Pouch M3),https://m.media-amazon.com/images/I/61SLUV+EErL._AC_UL320_.jpg,4.6,10,173.0,300.0,,1.9885057471264367,3.4482758620689653
"Saptamveda 100% Organic Amla Indian Gooseberry Powder (150gm)| Drinking, Eating, Hair Nourishment, Repair Damage Hair & Sk...",https://m.media-amazon.com/images/I/81vSZU+Vu8L._AC_UL320_.jpg,4.1,81,199.0,249.0,gm,2.2873563218390807,2.8620689655172415
"Storck Werther's Original Cream Candies Sugar Free, 70g",https://m.media-amazon.com/images/I/71UMJ+m3I3L._AC_UL320_.jpg,4.3,240,490.0,799.0,g,5.632183908045977,9.183908045977011
"Oceans Secret - Tuna Chunks in Olive Oil 180g, Pack of 2 | Immunity Booster | Superfood | 100% Olive Oil | No Added Water",https://m.media-amazon.com/images/I/81-2HcG+oDL._AC_UL320_.jpg,4.4,"1,230",345.0,360.0,g,3.9655172413793105,4.137931034482759
Shapen You 28 Days Slim Blend for Improved Digestion and Weight Management: 2 Pack of Green Tea and Green Coffee (100g each),https://m.media-amazon.com/images/I/51DYFLYg9nL._AC_UL320_.jpg,5,8,474.0,2000.0,g,5.448275862068965,22.988505747126435
G-Uncle-G White Phenyl Concentrate 1 litre makes 30-35 litre of Good phenyl,https://m.media-amazon.com/images/I/51RG+BwCPnL._AC_UL320_.jpg,4,485,370.0,700.0,,4.252873563218391,8.045977011494253
"Zenith Nutrition Pantothenic Acid (Vitamin B5) 5000mcg, Energy & Metabolism - 100 Veg capsules",https://m.media-amazon.com/images/I/514w8HOK2bL._AC_UL320_.jpg,4,211,599.0,800.0,,6.885057471264368,9.195402298850574
Catch Whole Jeera (Cumin) Seed 200 GMS - Pack of 2(400 GMS) - Whole Pack,https://m.media-amazon.com/images/I/61rijhh2l1L._AC_UL320_.jpg,4.4,655,240.0,270.0,,2.7586206896551726,3.103448275862069
SDS Shahi Paneer Masala 40gm - Pack of 6,https://m.media-amazon.com/images/I/51+XMc1gaiL._AC_UL320_.jpg,4.4,122,212.0,240.0,gm,2.4367816091954024,2.7586206896551726
"Sindhi Dry Fruits Gurbandi Badam, Premium Gurbandi Almond Giri, Desi Badam, Great Snack for Diabetic Patients, 500 grams Pack",https://m.media-amazon.com/images/I/91Ge9pCG9sL._AC_UL320_.jpg,3.8,68,520.0,624.0,,5.977011494252873,7.172413793103448
Vaidyarajindia Pure AYURVEDA Olive Salt (Jaitun Ka Namak Zaitoon) 60g,https://m.media-amazon.com/images/I/41kSLsywjnL._AC_UL320_.jpg,3.6,9,160.0,399.0,g,1.839080459770115,4.586206896551724
NUTRIFRUITS ROASTED CASHEW BLACK PEPPER FLAVOUR,https://m.media-amazon.com/images/I/81IJI4DKCML._AC_UL320_.jpg,5,1,260.0,475.0,,2.9885057471264367,5.459770114942529
Nuts and Seeds (Yellow Dates/ Peela Khajoor 1kg),https://m.media-amazon.com/images/I/31gUXzqkPOL._AC_UL320_.jpg,3.4,62,211.0,2000.0,kg,2.425287356321839,22.988505747126435
Add me Home Made Lasode Gunda Pickle Achar 500gm Rajasthani lasoda Fruit ka achaar Glass Jar,https://m.media-amazon.com/images/I/61bTZzl0WjL._AC_UL320_.jpg,4.1,598,299.0,400.0,gm,3.4367816091954024,4.597701149425287
RiTrue - Organic Pitted Dried Prunes Without added Sugar - 250 gm - Unsweetened Dry Fruits (No Preservatives & Additives)...,https://m.media-amazon.com/images/I/81-MgPc9fGS._AC_UL320_.jpg,4,295,346.0,499.0,,3.9770114942528734,5.735632183908046
Beyond Snáck Natural Kerala Banana Chips Healthy and Delicious Snacks- No Hand Touch- Original Style Salted 600gms,https://m.media-amazon.com/images/I/81RwhQUwH2L._AC_UL320_.jpg,3.8,794,459.0,540.0,,5.275862068965517,6.206896551724138
"Fatafat Digestive Pills , Fatafat Goli , Fatafat Candi , Old Hyderabadi Fatafat (12 pouches x 25g each)",https://m.media-amazon.com/images/I/51r4bUbPuGL._AC_UL320_.jpg,4.1,21,120.0,222.0,g,1.3793103448275863,2.5517241379310347
"Vimto Fruit Cordial, 710g",https://m.media-amazon.com/images/I/51y+pTxZVUL._AC_UL320_.jpg,4.3,40,629.0,999.0,g,7.2298850574712645,11.482758620689655
"Nutri Desire Immunity Booster High Rich Protein Combo of Pumpkin, Sunflower & Watermelon Seeds (Pack of 3) (150 gram each)",https://m.media-amazon.com/images/I/81Yj9OPaVBS._AC_UL320_.jpg,3.9,81,335.0,399.0,,3.8505747126436782,4.586206896551724
CHAI POINT Instant Tea | Incredibly Authentic | Elaichi Flavor | 10 Sachets | Elaichi Tea | Instant Tea Premix Tea| Assam ...,https://m.media-amazon.com/images/I/71PjTbZauCL._AC_UL320_.jpg,4.1,471,175.0,199.0,,2.0114942528735633,2.2873563218390807
"HERBALIFE Afresh Energy Drink - Peach Flavor & Lemon Flavor For Weight Loss Energy Drink  (50 g, Peach, Lemon Flavored)",https://m.media-amazon.com/images/I/5185PHr1lEL._AC_UL320_.jpg,4.2,22,1069.0,1696.0,,12.28735632183908,19.49425287356322
"Nescafe Gold Origins Indonesian Sumatra Coffee Bottle, 100g",https://m.media-amazon.com/images/I/61zqwJipUwL._AC_UL320_.jpg,4.3,411,809.0,999.0,g,9.298850574712644,11.482758620689655
